demo,map,linetype,player,team,time (s),hp,death,action,target,target_team,targeted,value,uid,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20
kb7272,outbreak,log,Icicluminom,BLU,-3.849,0,,wild bastion,,,0,814,0
kb7272,outbreak,log,Apollo CAWWWeed,BLU,-3.367,1606.0,,call to justice,,,0,1212,1
kb7272,outbreak,log,dat plan b,BLU,-2.543,1606.0,,call to justice,,,0,1281,2
kb7272,outbreak,log,Pot,BLU,-2.092,1606.0,,call to justice,,,0,1334,3
kb7272,outbreak,log,Relinquished,BLU,-1.984,1829.7,,call to justice,,,0,1355,4
kb7272,outbreak,log,shock advised,BLU,0.651,1591.0,,insulating circuit,Relinquished,BLU,0,1774,5
kb7272,outbreak,log,Python Blue,BLU,1.256,1602.0,,clear mind,Pot,BLU,0,2006,6
kb7272,outbreak,log,dat plan b,BLU,2.171,,,adreneline boost,Python Blue,BLU,0,2511,7
kb7272,outbreak,log,Icicluminom,BLU,3.923,1766.0,,raptor pack,,,0,3383,8
kb7272,outbreak,log,Python Blue,BLU,5.34,,,adreneline boost,dat plan b,BLU,0,4200,9
kb7272,outbreak,log,Fushido Bushido,RED,5.716,1834.0,,wild bastion,,,0,4491,10
kb7272,outbreak,log,Cruel Existence,RED,5.716,1834.0,,wild bastion,,,0,4529,11
kb7272,outbreak,log,Cruel Existence,RED,5.716,,,raptor pack,,,0,4575,12
kb7272,outbreak,log,Apollo CAWWWeed,BLU,6.41,,,raptor pack,,,0,4937,13
kb7272,outbreak,log,Python Blue,BLU,7.558,,,mystic/flight,,,0,5741,14
kb7272,outbreak,log,Kencian X,RED,7.799,1606.0,,mystic/flight,,,0,5898,15
kb7272,outbreak,log,dat plan b,BLU,8.908,,,fortitude,Pot,BLU,0,6456,16
kb7272,outbreak,log,Yakshini,RED,9.171,1606.0,,raptor pack,,,0,6569,17
kb7272,outbreak,log,Fushido Bushido,RED,11.248,,,toxins,,,0,8085,18
kb7272,outbreak,log,Kencian X,RED,11.248,1606.0,,mystic/flight,,,0,8095,19
